,ds,trend,Chinese New Year,Chinese New Year_lower,Chinese New Year_upper,Dragon Boat Festival,Dragon Boat Festival_lower,Dragon Boat Festival_upper,holidays,holidays_lower,holidays_upper,Labor Day,Labor Day_lower,Labor Day_upper,Mid-Autumn Festival,Mid-Autumn Festival_lower,Mid-Autumn Festival_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,National Day,National Day_lower,National Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,Tomb-Sweeping Day,Tomb-Sweeping Day_lower,Tomb-Sweeping Day_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat_lower,yhat_upper,trend_lower,trend_upper,yhat
1,01/01/2011,0.314613633,0,0,0,0,0,0,-0.467402678,-0.935479027,-0.014114856,0,0,0,0,0,0,-0.707816931,-1.15945616,-0.274462454,0,0,0,-0.467402678,-0.935479027,-0.014114856,0,0,0,-0.240414252,-0.311995819,-0.164445528,0,0,0,0,0.458958228,0.305515123,0.340937088,0.091924777
2,01/01/2011,0.314613633,0,0,0,0,0,0,-0.467402678,-0.935479027,-0.014114856,0,0,0,0,0,0,-0.707816931,-1.15945616,-0.274462454,0,0,0,-0.467402678,-0.935479027,-0.014114856,0,0,0,-0.240414252,-0.311995819,-0.164445528,0,0,0,0,0.46214547,0.305515123,0.340937088,0.091924777
3,01/01/2011,0.314613633,0,0,0,0,0,0,-0.467402678,-0.935479027,-0.014114856,0,0,0,0,0,0,-0.707816931,-1.15945616,-0.274462454,0,0,0,-0.467402678,-0.935479027,-0.014114856,0,0,0,-0.240414252,-0.311995819,-0.164445528,0,0,0,0,0.434823285,0.305515123,0.340937088,0.091924777
4,01/01/2011,0.314613633,0,0,0,0,0,0,-0.467402678,-0.935479027,-0.014114856,0,0,0,0,0,0,-0.707816931,-1.15945616,-0.274462454,0,0,0,-0.467402678,-0.935479027,-0.014114856,0,0,0,-0.240414252,-0.311995819,-0.164445528,0,0,0,0,0.46017379,0.305515123,0.340937088,0.091924777
5,01/01/2011,0.314613633,0,0,0,0,0,0,-0.467402678,-0.935479027,-0.014114856,0,0,0,0,0,0,-0.707816931,-1.15945616,-0.274462454,0,0,0,-0.467402678,-0.935479027,-0.014114856,0,0,0,-0.240414252,-0.311995819,-0.164445528,0,0,0,0,0.470773544,0.305515123,0.340937088,0.091924777
6,02/01/2011,0.314402216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.243995411,-0.315263549,-0.166887076,0,0,0,0,0,0,0,0,0,-0.243995411,-0.315263549,-0.166887076,0,0,0,0,0.576348958,0.305322269,0.340622638,0.237689518
7,03/01/2011,0.314190896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247399312,-0.318756256,-0.170611685,0,0,0,0,0,0,0,0,0,-0.247399312,-0.318756256,-0.170611685,0,0,0,0,0.550047414,0.305146095,0.340308375,0.236460285
8,03/01/2011,0.314190896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247399312,-0.318756256,-0.170611685,0,0,0,0,0,0,0,0,0,-0.247399312,-0.318756256,-0.170611685,0,0,0,0,0.566811388,0.305146095,0.340308375,0.236460285
9,03/01/2011,0.314190896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247399312,-0.318756256,-0.170611685,0,0,0,0,0,0,0,0,0,-0.247399312,-0.318756256,-0.170611685,0,0,0,0,0.585242231,0.305146095,0.340308375,0.236460285
10,03/01/2011,0.314190896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247399312,-0.318756256,-0.170611685,0,0,0,0,0,0,0,0,0,-0.247399312,-0.318756256,-0.170611685,0,0,0,0,0.596233578,0.305146095,0.340308375,0.236460285
11,03/01/2011,0.314190896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247399312,-0.318756256,-0.170611685,0,0,0,0,0,0,0,0,0,-0.247399312,-0.318756256,-0.170611685,0,0,0,0,0.566983595,0.305146095,0.340308375,0.236460285
12,03/01/2011,0.314190896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247399312,-0.318756256,-0.170611685,0,0,0,0,0,0,0,0,0,-0.247399312,-0.318756256,-0.170611685,0,0,0,0,0.552570765,0.305146095,0.340308375,0.236460285
13,05/01/2011,0.313768547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2536635,-0.323755724,-0.177823802,0,0,0,0,0,0,0,0,0,-0.2536635,-0.323755724,-0.177823802,0,0,0,0,0.562731199,0.304796976,0.339679771,0.234176919
