, Rc (Maximum a Posteriori)
,0.051098878
1,0.044990031
2,0.037648663
4,0.019988363
14,0
16,0
19,0
20,0
21,0
21,0
22,0
22,0
24,0
25,0
30,0
34,0
35,0
35,0
35,0
37,0
39,0
40,0
40,0
43,0
43,0
45,0
48,0
53,0
54,0.309655332
54,0.309655332
59,0.214265868
60,0.166423469
64,0.515178617
71,0.4446743
73,1.447839494
78,1.269863983
83,0.322443606
90,0
90,0
90,0
91,0
93,0
96,0
98,0
98,0
98,0
99,0
100,0
100,0
101,0.067089699
101,0.067089699
101,0.067089699
105,0.156848509
105,0.156848509
105,0.156848509
106,0.121826557
106,0.121826557
108,0.146311055
108,0.146311055
109,0.286667334
109,0.286667334
109,0.286667334
110,0.239889626
111,0.186325821
111,0.186325821
112,0.127361788
112,0.127361788
113,0.064643307
114,5.98E-13
114,5.98E-13
114,5.98E-13
115,0
117,0
118,0
119,0
119,0
120,0
120,0
120,0
121,0
122,0.049407494
122,0.049407494
122,0.049407494
122,0.049407494
122,0.049407494
122,0.049407494
122,0.049407494
124,0.356791655
124,0.356791655
125,0.335583567
127,0.415537077
128,0.395303876
128,0.395303876
128,0.395303876
129,0.361873241
129,0.361873241
129,0.361873241
131,0.326031208
131,0.326031208
135,0.087732667
136,0.120463038
136,0.120463038
136,0.120463038
136,0.120463038
137,0.143003341
138,0.119668389
138,0.119668389
139,0.092948208
139,0.092948208
140,0.063534136
141,0.032247165
141,0.032247165
142,2.98E-13
142,2.98E-13
143,0
143,0
143,0
144,0.022326533
144,0.022326533
144,0.022326533
144,0.022326533
144,0.022326533
145,0.095751099
145,0.095751099
145,0.095751099
145,0.095751099
146,0.074371295
146,0.074371295
147,0.050836009
147,0.050836009
147,0.050836009
147,0.050836009
147,0.050836009
147,0.050836009
148,0.025802148
148,0.025802148
149,2.39E-13
149,2.39E-13
149,2.39E-13
149,2.39E-13
149,2.39E-13
150,0.045551077
151,0.097460881
151,0.097460881
151,0.097460881
151,0.097460881
152,0.075699308
152,0.075699308
152,0.075699308
153,0.051743764
153,0.051743764
153,0.051743764
153,0.051743764
153,0.051743764
154,0.026262885
154,0.026262885
154,0.026262885
155,0.084267937
155,0.084267937
155,0.084267937
155,0.084267937
155,0.084267937
156,0.144188823
157,0.120660427
157,0.120660427
159,0.064060827
159,0.064060827
160,0.032514491
160,0.032514491
162,0
162,0
162,0
163,0
164,0
164,0
165,0
166,0
166,0
168,0.033834326
168,0.033834326
169,0.197099745
169,0.197099745
170,0.173536563
170,0.173536563
172,0.112793956
174,0.468916504
174,0.468916504
175,0.420261078
176,0.335209812
176,0.335209812
176,0.335209812
176,0.335209812
177,0.240528191
178,0.862400916
180,1.154841919
182,0.930057549
183,0.778292924
185,0.413209943
187,0
187,0
188,0
188,0
188,0
189,0
190,0.084540542
190,0.084540542
190,0.084540542
190,0.084540542
193,0.376162385
194,0.397308169
194,0.397308169
195,0.441646034
195,0.441646034
196,0.340704643
198,0.257713764
199,0.27648885
199,0.27648885
202,0.301373826
202,0.301373826
202,0.301373826
202,0.301373826
205,0.083206044
205,0.083206044
206,0.042231771
206,0.042231771
209,0
212,0
213,0
213,0
213,0
214,0
216,0.223705549
216,0.223705549
216,0.223705549
217,0.196961656
220,0.087506966
221,0.044414732
222,4.11E-13
223,0
225,0
226,0
226,0
228,0
228,0
229,0
229,0
230,0
235,0
237,0.250644532
239,0.263282643
239,0.263282643
240,0.493462893
241,0.750989045
243,0.666824544
248,0.185034551
249,0.501044134
252,0.312717507
252,0.312717507
259,0
259,0
260,0
262,0
263,0
265,0
266,0
269,0
272,0
273,0
273,0
273,0
276,0
277,0
278,0.817319329
283,1.182680671
293,0
295,0.248929582
295,0.248929582
296,0.278139687
298,0.649697152
306,0.211606105
307,0.14464196
307,0.14464196
308,0.073413971
310,0
311,0
316,0
318,0
319,0
324,0
331,0
334,0.664021945
344,0.222862658
345,0.113115397
350,0
353,0
361,0
361,0
364,0.28087342
365,0.341462464
365.9972678,0.321549162
371.9808743,0.056114953
374.9726776,0
379.9590164,0
383.9480874,0
384.9453552,0
386.9398907,0
387.9371585,0
394.9180328,0
395.9153005,0
396.9125683,0
404.8907104,0
419.8497268,0
421.8442623,0
422.8415301,0
424.8360656,0
424.8360656,0
427.8278689,0.227156767
438.7978142,0.493134029
441.7896175,0.279709204
445.7786885,0
447.773224,0
454.7540984,0
457.7459016,0
458.7431694,0
459.7404372,0.304019691
460.7377049,0.286289965
461.7349727,0.261414271
464.726776,0.148276074
468.715847,0
474.6994536,0
474.6994536,0
474.6994536,0
475.6967213,0
476.6939891,0
476.6939891,0
477.6912568,0
477.6912568,0
477.6912568,0
478.6885246,0
479.6857924,0
479.6857924,0
479.6857924,0
479.6857924,0
481.6803279,0
482.6775956,0
482.6775956,0
482.6775956,0
